v0.6.1,,,,,,,,,,
CÓDIGO,UNIDAD,"MATERIAL BÁSICO","MATERIAL 1","MATERIAL 2","MATERIAL 3",Masa,Masa,Masa,"TOTAL KG","FACTOR DE CALCULO HCE"
P01AG090,m3,"Gravilla silícea machaqueo 1/5 mm","ARENA DE SILICE",,,1700,,,1700,0
P01AG100,t,"Gravilla silícea machaqueo 1/5 mm","ARENA DE SILICE",,,1000,,,1000,0
P01AG105,m3,"Gravilla seleccio.color 5/15 mm","ARENA Y GRAVA NATURAL",,,1700,,,1700,0
P01AG106,t,"Gravilla seleccio. color 5/15 mm","ARENA Y GRAVA NATURAL",,,1000,,,1000,0
P01AG110,m3,"Gravilla machaqueo 12/20 mm","ARENA Y GRAVA MACHAQUEO",,,1700,,,1700,0
P01AG120,t,"Gravilla machaqueo 12/20 mm","ARENA Y GRAVA MACHAQUEO",,,1000,,,1000,0
P01AG125,m3,"Gravilla machaqueo 20/40 mm","ARENA Y GRAVA MACHAQUEO",,,1700,,,1700,0
P01AG126,t,"Gravilla machaqueo 20/40 mm","ARENA Y GRAVA MACHAQUEO",,,1000,,,1000,0
P01AG127,m3,"Grava Madrid","ARENA Y GRAVA NATURAL",,,1700,,,1700,0
P01AG130,m3,"Grava machaqueo 40/80 mm","ARENA Y GRAVA MACHAQUEO",,,1700,,,1700,0
P01AG140,t,"Grava machaqueo 40/80 mm","ARENA Y GRAVA MACHAQUEO",,,1000,,,1000,0
P01AG145,m3,"Grava selecc.de río 40/60 mm","ARENA Y GRAVA NATURAL",,,1700,,,1700,0
P01AG146,t,"Grava selecc.de río 40/60 mm","ARENA Y GRAVA NATURAL",,,1000,,,1000,0
P01AG150,m3,"Grava morro 80/200 mm","ARENA Y GRAVA NATURAL",,,1700,,,1700,0
P01AG160,t,"Grava morro 80/200 mm","ARENA Y GRAVA NATURAL",,,1000,,,1000,0
P01AG170,m3,"Canto calizo selec. 12 mm","ARENA Y GRAVA NATURAL",,,1700,,,1700,0
P01AG171,t,"Canto calizo selec. 12 mm","ARENA Y GRAVA NATURAL",,,1000,,,1000,0
P01AG180,m3,"Canto calizo selec. 40-60 mm","ARENA Y GRAVA NATURAL",,,1700,,,1700,0
P01AG181,t,"Canto calizo selec. 40-60 mm","ARENA Y GRAVA NATURAL",,,1000,,,1000,0
P01AG190,m3,"Morro calizo 80-100 mm selec.","ARENA Y GRAVA NATURAL",,,1700,,,1700,0
P01AG191,t,"Morro calizo 80-100 mm selec.","ARENA Y GRAVA NATURAL",,,1000,,,1000,0
P01AG200,m3,"Zahorra artificial caliza Z-20","ARENA Y GRAVA MACHAQUEO",,,1700,,,1700,0
P01AG201,t,"Zahorra artificial caliza Z-20","ARENA Y GRAVA MACHAQUEO",,,1000,,,1000,0
